symbol,date,underlying_open,underlying_high,underlying_low,underlying_close,underlying_volume,contract_type,option_ticker,expiration_date,strike_price,option_open,option_high,option_low,option_close,option_volume,option_vwap,option_transactions,missing_reason
QQQ,2026-04-27,663.4,664.43,660.69,664.23,32450723.284778,put,O:QQQ260427P00664000,2026-04-27,664,2.2,3.8,0.28,0.47,116907,1.2691,14803,
SPY,2026-04-20,708.78,709.91,706.14,708.72,43546812.254513,call,O:SPY260420C00709000,2026-04-20,709,1.52,1.94,0.02,0.05,658160,0.6783,74668,
SPY,2026-04-20,708.78,709.91,706.14,708.72,43546812.254513,put,O:SPY260420P00709000,2026-04-20,709,1.69,3.23,0.27,0.42,347383,1.4951,48866,
SPY,2026-04-21,710.28,711.275,702.64,704.08,58941384.897666,call,O:SPY260421C00704000,2026-04-21,704,6.19,7.37,0.2,2.83,86594,1.6409,9518,
SPY,2026-04-21,710.28,711.275,702.64,704.08,58941384.897666,put,O:SPY260421P00704000,2026-04-21,704,0.2,1.6,0.03,0.13,455837,0.5163,44020,
SPY,2026-04-22,709.15,711.45,708.22,711.21,42518498.41785,call,O:SPY260422C00711000,2026-04-22,711,0.79,1.12,0.07,0.08,638932,0.5439,80365,
SPY,2026-04-22,709.15,711.45,708.22,711.21,42518498.41785,put,O:SPY260422P00711000,2026-04-22,711,2.61,3.24,0.1,0.55,174750,1.41,23267,
SPY,2026-04-23,709.5,712.3598,702.2803,708.45,56173990.995762,call,O:SPY260423C00708000,2026-04-23,708,2.56,4.44,0.23,0.24,296820,1.1403,31096,
SPY,2026-04-23,709.5,712.3598,702.2803,708.45,56173990.995762,put,O:SPY260423P00708000,2026-04-23,708,1.16,5.91,0.13,0.61,477804,0.8883,52584,
SPY,2026-04-24,710.75,714.47,709.01,713.94,45181957.231292,call,O:SPY260424C00714000,2026-04-24,714,0.57,1.42,0.07,0.12,627856,0.5074,60927,
SPY,2026-04-24,710.75,714.47,709.01,713.94,45181957.231292,put,O:SPY260424P00714000,2026-04-24,714,3.59,5.12,0.15,0.37,349952,0.946,31567,
SPY,2026-04-27,713.17,715.63,712.295,715.17,33132944.665989,call,O:SPY260427C00715000,2026-04-27,715,0.7,1,0.22,0.28,614247,0.5867,72267,
SPY,2026-04-27,713.17,715.63,712.295,715.17,33132944.665989,put,O:SPY260427P00715000,2026-04-27,715,2.5,2.89,0.25,0.31,330413,0.9127,34395,
TLT,2026-04-20,87.11,87.125,86.71,87.05,14623480.475129,call,O:TLT260420C00087000,2026-04-20,87,0.17,0.21,0.02,0.03,13405,0.073,681,
TLT,2026-04-20,87.11,87.125,86.71,87.05,14623480.475129,put,O:TLT260420P00087000,2026-04-20,87,0.09,0.31,0.01,0.03,3482,0.1042,273,
TLT,2026-04-21,86.97,87.092,86.53,86.57,19798692.797248,call,O:TLT260422C00086500,2026-04-22,86.5,0.54,0.59,0.25,0.28,2769,0.3812,114,
TLT,2026-04-21,86.97,87.092,86.53,86.57,19798692.797248,put,O:TLT260422P00086500,2026-04-22,86.5,0.08,0.21,0.06,0.18,3986,0.1174,308,
TLT,2026-04-22,87.05,87.155,86.705,86.74,13676816.230573,call,O:TLT260422C00086500,2026-04-22,86.5,0.5,0.65,0.2,0.2,383,0.4397,78,
TLT,2026-04-22,87.05,87.155,86.705,86.74,13676816.230573,put,O:TLT260422P00086500,2026-04-22,86.5,0.02,0.03,0.01,0.01,5142,0.0194,147,
TLT,2026-04-23,86.825,87.04,86.24,86.55,21106665.229017,call,O:TLT260424C00086500,2026-04-24,86.5,0.46,0.58,0.13,0.29,3671,0.2332,232,
TLT,2026-04-23,86.825,87.04,86.24,86.55,21106665.229017,put,O:TLT260424P00086500,2026-04-24,86.5,0.1,0.36,0.04,0.18,3429,0.1663,321,
TLT,2026-04-24,86.46,86.82,86.25,86.71,22285741.188974,call,O:TLT260424C00086500,2026-04-24,86.5,0.15,0.34,0.08,0.15,32339,0.2013,559,
TLT,2026-04-24,86.46,86.82,86.25,86.71,22285741.188974,put,O:TLT260424P00086500,2026-04-24,86.5,0.19,0.32,0.01,0.01,3605,0.0393,240,
TLT,2026-04-27,86.489,86.62,86.1926,86.28,19101590.197382,call,O:TLT260427C00086500,2026-04-27,86.5,0.11,0.17,0.01,0.01,3969,0.046,363,
TLT,2026-04-27,86.489,86.62,86.1926,86.28,19101590.197382,put,O:TLT260427P00086500,2026-04-27,86.5,0.13,0.32,0.06,0.2,3490,0.1562,384,
VXX,2026-04-20,29.29,29.87,29.2,29.33,7598053.824815,call,O:VXX260424C00029500,2026-04-24,29.5,0.65,0.92,0.53,0.62,5944,0.7044,406,
VXX,2026-04-20,29.29,29.87,29.2,29.33,7598053.824815,put,O:VXX260424P00029500,2026-04-24,29.5,0.87,0.88,0.52,0.52,479,0.6718,25,
VXX,2026-04-21,29.3,30.4,29.245,29.89,7331466.357759,call,O:VXX260424C00030000,2026-04-24,30,0.4,0.95,0.38,0.6,1764,0.6048,293,
VXX,2026-04-21,29.3,30.4,29.245,29.89,7331466.357759,put,O:VXX260424P00030000,2026-04-24,30,1.08,1.08,0.6,0.82,625,1.0163,43,
VXX,2026-04-22,29.19,29.88,29.11,29.55,5285731.13392,call,O:VXX260424C00029500,2026-04-24,29.5,0.5,0.72,0.36,0.5,1285,0.5333,551,
VXX,2026-04-22,29.19,29.88,29.11,29.55,5285731.13392,put,O:VXX260424P00029500,2026-04-24,29.5,0.69,0.69,0.42,0.45,456,0.4708,23,
VXX,2026-04-23,29.72,30.945,29.43,29.5,11414526.062203,call,O:VXX260424C00029500,2026-04-24,29.5,0.47,1.42,0.32,0.43,961,0.6806,349,
VXX,2026-04-23,29.72,30.945,29.43,29.5,11414526.062203,put,O:VXX260424P00029500,2026-04-24,29.5,0.32,0.41,0.06,0.41,938,0.2243,38,
VXX,2026-04-24,29.45,29.85,29.07,29.79,8311343.000467,call,O:VXX260424C00030000,2026-04-24,30,0.15,0.19,0.01,0.01,823,0.0705,173,
VXX,2026-04-24,29.45,29.85,29.07,29.79,8311343.000467,put,O:VXX260424P00030000,2026-04-24,30,0.61,0.79,0.17,0.17,405,0.6413,78,
VXX,2026-04-27,29.48,29.63,28.78,28.89,5219092.65499,call,,,,,,,,,,,no_contract_found
VXX,2026-04-27,29.48,29.63,28.78,28.89,5219092.65499,put,,,,,,,,,,,no_contract_found
